timer_name,total_time,calls,avg_time_ms,mega_zone_updates_ps,kernel,resolution
main,18.513057,1,18513.056722,2.95,euler,128
timeLoop,17.579951,1,17579.951296,3.10,euler,128
EulerSolve,17.011482,26,654.287759,3.21,euler,128
computeL,9.435273,52,181.447548,5.78,euler,128
main,10.014808,1,10014.807712,5.44,gravity,128
timeLoop,9.161759,1,9161.759166,5.95,gravity,128
solvePoisson,8.624247,26,331.701820,6.32,gravity,128
main,8.916343,1,8916.342710,6.02,euler,16
timeLoop,8.844109,1,8844.108549,6.07,euler,16
EulerSolve,8.277675,13108,0.631498,6.49,euler,16
computeL,6.725190,26216,0.256530,7.98,euler,16
main,6.192701,1,6192.700966,8.67,gravity,16
timeLoop,6.121830,1,6121.829778,8.77,gravity,16
solvePoisson,5.554583,13108,0.423755,9.67,gravity,16
main,28.734222,1,28734.222285,2.34,euler,256
timeLoop,21.312985,1,21312.985268,3.15,euler,256
EulerSolve,20.625571,4,5156.392786,3.25,euler,256
computeL,11.741579,8,1467.697391,5.72,euler,256
main,21.308997,1,21308.996521,3.15,gravity,256
timeLoop,13.609402,1,13609.402206,4.93,gravity,256
solvePoisson,12.919037,4,3229.759253,5.19,gravity,256
main,11.776228,1,11776.228233,4.56,euler,32
timeLoop,11.694806,1,11694.806492,4.59,euler,32
EulerSolve,11.151884,1639,6.804078,4.82,euler,32
computeL,7.057956,3278,2.153129,7.61,euler,32
main,6.711445,1,6711.444531,8.00,gravity,32
timeLoop,6.628634,1,6628.633959,8.10,gravity,32
solvePoisson,6.085525,1639,3.712950,8.83,gravity,32
main,108.950754,1,108950.754426,1.23,euler,512
timeLoop,43.263801,1,43263.801335,3.10,euler,512
EulerSolve,41.931646,1,41931.645591,3.20,euler,512
computeL,25.115117,2,12557.558335,5.34,euler,512
main,102.629702,1,102629.702404,1.31,gravity,512
timeLoop,33.873038,1,33873.038442,3.96,gravity,512
solvePoisson,32.489148,1,32489.147704,4.13,gravity,512
main,15.936665,1,15936.664933,3.37,euler,64
timeLoop,15.767685,1,15767.684563,3.41,euler,64
EulerSolve,15.211286,205,74.201394,3.53,euler,64
computeL,8.399848,410,20.487434,6.40,euler,64
main,7.559147,1,7559.146627,7.11,gravity,64
timeLoop,7.394342,1,7394.342305,7.27,gravity,64
solvePoisson,6.841403,205,33.372700,7.86,gravity,64
